MQ-2,MQ-3,MQ-136,MQ-137
233.0,403.0,99.0,199.0
233.0,403.0,99.0,199.0
233.0,403.0,99.0,199.0
233.0,403.0,99.0,199.0
233.0,403.0,99.0,199.0
233.0,403.0,99.0,199.0
233.0,402.0,99.0,199.0
233.0,402.0,99.0,199.0
233.0,402.0,99.0,198.0
233.0,402.0,99.0,198.0
233.0,402.0,99.0,198.0
233.0,402.0,99.0,198.0
233.0,402.0,99.0,198.0
233.0,402.0,99.0,198.0
233.0,402.0,99.0,198.0
233.0,401.0,99.0,198.0
233.0,401.0,99.0,198.0
233.0,401.0,99.0,198.0
233.0,401.0,99.0,198.0
233.0,401.0,99.0,198.0
233.0,401.0,99.0,197.0
233.0,400.0,99.0,197.0
233.0,400.0,99.0,197.0
233.0,400.0,99.0,197.0
233.0,400.0,99.0,197.0
232.0,400.0,98.0,197.0
232.0,399.0,99.0,197.0
232.0,399.0,99.0,197.0
232.0,399.0,98.0,197.0
232.0,399.0,98.0,197.0
232.0,399.0,98.0,197.0
232.0,399.0,99.0,196.0
232.0,398.0,99.0,196.0
232.0,398.0,98.0,196.0
232.0,398.0,98.0,196.0
